Conversation_ID,Transcript,Summary;Identificador;Tech;Sales
"3b4db942-f037-4670-8200-a7ef706e9e82-eeef807d-c8e3-4832-af16-8d2017992d78.transcript.json,""internal: sub sales. How can I help you?";1;;1
external: I'm just wondering if I can cancel my mbn order please.;0;;
internal: Yep, no worries. Could I please know your full name and the service address?;0;;
external: Got your Bates and Street, Cleveland, four one six three.;0;;
internal: Ok. thank you. uh, could you also please verify your email address and date of birth?;0;;
external: J H base eleven at gmail dot com and twenty fourth of August nineteen eighty nine.;0;;
internal: Ok, thank you.;0;;
internal: Alright, Could I please know the reason why you are trying to withdraw the order?;0;;
external: I made a mistake in the order.;0;;
internal: Okay, no worries.;0;;
internal: So sorry will be re signing up with by any chance or.;0;;
external: Uh, yes.;0;;
internal: Okay, no worries.;0;;
internal: Alright, so I've just gone ahead and withdrawn the order and it is now inactive on the system. So if you're happy to rejoin you can simply place an order online or if you like I can assist you over the phone as well.;0;;
external: Yeah.;0;;
external: I'll do online. thank you.;0;;
internal: Sure, sure, no worries, uh.;0;;
internal: Okay, so all done anything else I could help you with please?;0;;
external: That will be all, Thank you.;0;;
internal: Alright then. thanks for calling. you have a great day.;0;;
external: You too, bye.;0;;
"internal: Right."",""Customer intent: The customer wants to cancel their MBN order.";0;;
Agent actions: The agent asks for the customer's name, service address, email address, and date of birth. The agent asks for the reason behind canceling the order and offers assistance in rejoining or placing a new order. The agent informs the customer that the order has been withdrawn and offers assistance in placing an order online. The agent concludes the conversation by asking if there's anything else they can help with and wishes the customer a great day.;0;;
"Customer sentiment: The customer seems to be satisfied with the agent's assistance and expresses gratitude at the end of the conversation.""";0;;
"235c56d7-1b00-4c5f-9157-78b6dd281bb4-b10473f3-5cff-41e2-8f74-178e84c370f5.transcript.json,""internal: Hello there. Thank you for calling tech Support. How may I help you?";1;1;
external: Hi morning, yeah. so yesterday I actually received a call from you guys about the activation of my M B M box or something cause I plugged it in the power is on but the, I don't get a Dsl connection. Is it something you have to activate on your end?;0;;
internal: Uh.;0;;
internal: First of all I have to check the connection. Can I have your customer Id?;0;;
external: Yep, hmm, customer name is Shenk Isaac, S H A N K A R.;0;;
internal: Do you have the customer Id number that, uh, yeah?;0;;
external: Oh, Id, yeah, sure, give me a second, sorry.;0;;
internal: Six Peter.;0;;
external: Is, is it the service number?;0;;
internal: Customer the.;0;;
external: Id sorry, just let me check on the website.;0;;
